Date,Open,High,Low,Close,Volume,Ticker,source,updated_at
2026-05-29,0,5250,5200,5250,2085,BICB,live,2026-05-29 18:41:14.937411
2026-05-28,5190,5200,5200,5200,3582,BICB,live,2026-05-28 20:32:24.223208
2026-05-26,5225,5225,5225,5225,1236,BICB,brvm_live,2026-05-26T00:45:21Z
2026-05-22,5225,5225,5200,5225,1236,BICB,github,2026-05-26T00:45:14Z
2026-05-21,5180,5230,5195,5225,1733,BICB,github,2026-05-26T00:45:14Z
2026-05-20,5200,5220,5150,5195,1522,BICB,github,2026-05-26T00:45:14Z
2026-05-19,5005,5225,5100,5220,5652,BICB,github,2026-05-26T00:45:14Z
2026-05-18,5100,5225,5100,5105,3639,BICB,github,2026-05-26T00:45:14Z
2026-05-15,5200,5225,5200,5200,2409,BICB,github,2026-05-26T00:45:14Z
2026-05-13,5200,5225,5200,5220,782,BICB,github,2026-05-26T00:45:14Z
2026-05-12,5200,5200,5165,5200,1578,BICB,github,2026-05-26T00:45:14Z
2026-05-11,5165,5225,5160,5170,1725,BICB,github,2026-05-26T00:45:14Z
2026-05-08,5160,5300,5120,5225,3826,BICB,github,2026-05-26T00:45:14Z
2026-05-07,5225,5225,5120,5120,2755,BICB,github,2026-05-26T00:45:14Z
2026-05-06,5225,5250,5125,5200,757,BICB,github,2026-05-26T00:45:14Z
2026-05-05,5260,5305,5305,5250,937,BICB,github,2026-05-26T00:45:14Z
2026-05-04,5305,5310,5250,5305,2205,BICB,github,2026-05-26T00:45:14Z
2026-04-30,5305,5490,5305,5310,958,BICB,github,2026-05-26T00:45:14Z
2026-04-29,5265,5500,5270,5490,3974,BICB,github,2026-05-26T00:45:14Z
2026-04-28,5215,5300,5205,5270,1098,BICB,github,2026-05-26T00:45:14Z
2026-04-27,5200,5250,5200,5205,2632,BICB,github,2026-05-26T00:45:14Z
2026-04-24,5110,5200,5100,5200,4342,BICB,github,2026-05-26T00:45:14Z
2026-04-23,5175,5200,5110,5150,2423,BICB,github,2026-05-26T00:45:14Z
2026-04-22,5150,5200,5085,5110,2042,BICB,github,2026-05-26T00:45:14Z
2026-04-21,5110,5125,5100,5100,2096,BICB,github,2026-05-26T00:45:14Z
2026-04-20,5115,5120,5100,5110,2873,BICB,github,2026-05-26T00:45:14Z
2026-04-17,5145,5145,5110,5110,5498,BICB,github,2026-05-26T00:45:14Z
2026-04-16,5140,5150,5110,5110,1100,BICB,github,2026-05-26T00:45:14Z
2026-04-15,5135,5190,5100,5150,4091,BICB,github,2026-05-26T00:45:14Z
2026-04-14,5115,5150,5115,5135,2210,BICB,github,2026-05-26T00:45:14Z
2026-04-13,5115,5180,5120,5120,1478,BICB,github,2026-05-26T00:45:14Z
2026-04-10,5150,5180,5115,5150,1467,BICB,github,2026-05-26T00:45:14Z
2026-04-09,5110,5180,5100,5180,2263,BICB,github,2026-05-26T00:45:14Z
2026-04-08,5110,5110,5090,5110,674,BICB,github,2026-05-26T00:45:14Z
2026-04-07,5105,5175,5100,5110,3985,BICB,github,2026-05-26T00:45:14Z
2026-04-03,5075,5200,5075,5175,1248,BICB,github,2026-05-26T00:45:14Z
2026-04-02,5100,5200,5100,5200,1071,BICB,github,2026-05-26T00:45:14Z
2026-04-01,5100,5190,5100,5150,545,BICB,github,2026-05-26T00:45:14Z
2026-03-31,5100,5190,5090,5100,785,BICB,github,2026-05-26T00:45:14Z
2026-03-30,5100,5190,5070,5090,888,BICB,github,2026-05-26T00:45:14Z
2026-03-27,5100,5150,5090,5090,5382,BICB,github,2026-05-26T00:45:14Z
2026-03-26,5000,5100,5000,5100,959,BICB,github,2026-05-26T00:45:14Z
2026-03-25,5100,5105,5000,5000,1429,BICB,github,2026-05-26T00:45:14Z
2026-03-24,5185,5185,5075,5100,554,BICB,github,2026-05-26T00:45:14Z
2026-03-23,5200,5200,5050,5185,2382,BICB,github,2026-05-26T00:45:14Z
2026-03-19,5150,5200,5110,5200,1413,BICB,github,2026-05-26T00:45:14Z
2026-03-18,5220,5250,5155,5200,947,BICB,github,2026-05-26T00:45:14Z
2026-03-17,5200,5230,5150,5250,3564,BICB,github,2026-05-26T00:45:14Z
2026-03-13,5220,5225,5200,5220,279,BICB,github,2026-05-26T00:45:14Z
2026-03-12,5100,5215,5100,5215,1947,BICB,github,2026-05-26T00:45:14Z
2026-03-11,5205,5250,5180,5175,1597,BICB,github,2026-05-26T00:45:14Z
2026-03-10,5250,5250,5195,5200,8173,BICB,github,2026-05-26T00:45:14Z
2026-03-09,5205,5250,5195,5245,997,BICB,github,2026-05-26T00:45:14Z
2026-03-06,5250,5300,5195,5205,4383,BICB,github,2026-05-26T00:45:14Z
2026-03-05,5250,5250,5200,5250,3689,BICB,github,2026-05-26T00:45:14Z
2026-03-04,5200,5250,5195,5250,2864,BICB,github,2026-05-26T00:45:14Z
2026-03-03,5250,5255,5195,5195,11995,BICB,github,2026-05-26T00:45:14Z
2026-03-02,5195,5200,5150,5200,1969,BICB,github,2026-05-26T00:45:14Z
2026-02-27,5155,5255,5190,5195,2703,BICB,github,2026-05-26T00:45:14Z
2026-02-26,5245,5255,5175,5255,3657,BICB,github,2026-05-26T00:45:14Z
2026-02-25,5150,5200,5110,5200,2577,BICB,github,2026-05-26T00:45:14Z
2026-02-24,5100,5195,5100,5110,367,BICB,github,2026-05-26T00:45:14Z
2026-02-23,5005,5295,5005,5100,6668,BICB,github,2026-05-26T00:45:14Z
2026-02-20,5000,5000,4990,5005,6267,BICB,github,2026-05-26T00:45:14Z
2026-02-19,5000,5000,4990,4990,5186,BICB,github,2026-05-26T00:45:14Z
2026-02-18,4995,5000,4960,4990,1187,BICB,github,2026-05-26T00:45:14Z
2026-02-17,5000,4995,4955,4995,1496,BICB,github,2026-05-26T00:45:14Z
2026-02-16,5000,5000,4955,4995,1505,BICB,github,2026-05-26T00:45:14Z
2026-02-13,4960,5000,4955,5000,16740,BICB,github,2026-05-26T00:45:14Z
2026-02-12,4990,4985,4955,4960,1864,BICB,github,2026-05-26T00:45:14Z
2026-02-11,4975,4990,4940,4955,1209,BICB,github,2026-05-26T00:45:14Z
2026-02-10,4950,4995,4950,4950,2611,BICB,github,2026-05-26T00:45:14Z
2026-02-09,4950,4995,4940,4950,654,BICB,github,2026-05-26T00:45:14Z
2026-02-06,4930,4995,4930,4940,868,BICB,github,2026-05-26T00:45:14Z
2026-02-05,4950,4975,4930,4950,527,BICB,github,2026-05-26T00:45:14Z
2026-02-04,4950,4995,4900,4950,724,BICB,github,2026-05-26T00:45:14Z
2026-02-03,4980,4995,4910,4995,874,BICB,github,2026-05-26T00:45:14Z
2026-02-02,4905,4905,4900,4995,1070,BICB,github,2026-05-26T00:45:14Z
2026-01-30,5050,5050,4805,4900,13683,BICB,github,2026-05-26T00:45:14Z
2026-01-29,4955,5000,4950,4995,2174,BICB,github,2026-05-26T00:45:14Z
2026-01-28,5050,5050,4900,4995,4440,BICB,github,2026-05-26T00:45:14Z
2026-01-27,4905,5050,4905,5000,5197,BICB,github,2026-05-26T00:45:14Z
2026-01-26,4940,5000,4915,4990,3072,BICB,github,2026-05-26T00:45:14Z
2026-01-23,4930,4930,4915,4915,820,BICB,github,2026-05-26T00:45:14Z
2026-01-22,4930,4930,4920,4930,236,BICB,github,2026-05-26T00:45:14Z
2026-01-21,4900,4935,4900,4920,2211,BICB,github,2026-05-26T00:45:14Z
2026-01-20,4950,4950,4910,4910,572,BICB,github,2026-05-26T00:45:14Z
2026-01-19,4910,4940,4910,4940,808,BICB,github,2026-05-26T00:45:14Z
2026-01-16,4920,4950,4900,4940,638,BICB,github,2026-05-26T00:45:14Z
2026-01-15,4910,4950,4910,4920,164,BICB,github,2026-05-26T00:45:14Z
2026-01-14,4900,4950,4890,4910,2299,BICB,github,2026-05-26T00:45:14Z
2026-01-13,4910,4950,4910,4950,578,BICB,github,2026-05-26T00:45:14Z
2026-01-12,4940,4950,4910,4940,1189,BICB,github,2026-05-26T00:45:14Z
2026-01-09,4915,4960,4900,4950,177,BICB,github,2026-05-26T00:45:14Z
2026-01-08,4970,4970,4950,4960,101,BICB,github,2026-05-26T00:45:14Z
2026-01-07,4955,4970,4910,4970,2957,BICB,github,2026-05-26T00:45:14Z
2026-01-06,4950,4985,4910,4950,1062,BICB,github,2026-05-26T00:45:14Z
2026-01-05,4955,4975,4900,4910,483,BICB,github,2026-05-26T00:45:14Z
2026-01-02,4975,4975,4910,4975,1414,BICB,github,2026-05-26T00:45:14Z
2025-12-31,4910,4980,4905,4975,1634,BICB,github,2026-05-26T00:45:14Z
2025-12-30,4995,4995,4905,4905,4732,BICB,github,2026-05-26T00:45:14Z
2025-12-29,4960,4995,4905,4995,3120,BICB,github,2026-05-26T00:45:14Z
2025-12-26,4900,5000,4900,4960,26703,BICB,github,2026-05-26T00:45:14Z
2025-12-24,4900,4950,4900,4905,900,BICB,github,2026-05-26T00:45:14Z
2025-12-23,4965,4965,4950,4950,349,BICB,github,2026-05-26T00:45:14Z
2025-12-22,4915,4995,4915,4965,9236,BICB,github,2026-05-26T00:45:14Z
2025-12-19,4900,4995,4990,4995,415,BICB,github,2026-05-26T00:45:14Z
2025-12-18,4990,4995,4900,4995,253,BICB,github,2026-05-26T00:45:14Z
2025-12-17,4905,4995,4900,4995,426,BICB,github,2026-05-26T00:45:14Z
2025-12-16,4885,4995,4850,4995,1125,BICB,github,2026-05-26T00:45:14Z
2025-12-15,4950,4995,4850,4850,4072,BICB,github,2026-05-26T00:45:14Z
2025-12-12,4900,4995,4900,4995,1622,BICB,github,2026-05-26T00:45:14Z
2025-12-11,4905,5000,4905,4950,596,BICB,github,2026-05-26T00:45:14Z
2025-12-10,4905,4995,4900,4950,1123,BICB,github,2026-05-26T00:45:14Z
2025-12-09,5000,5050,4900,4900,5111,BICB,github,2026-05-26T00:45:14Z
2025-12-08,5000,5095,4955,5050,2081,BICB,github,2026-05-26T00:45:14Z
2025-12-05,4965,5170,4960,5000,2384,BICB,github,2026-05-26T00:45:14Z
2025-12-04,4975,5170,4965,5170,11502,BICB,github,2026-05-26T00:45:14Z
2025-12-03,4965,5000,4965,5000,922,BICB,github,2026-05-26T00:45:14Z
2025-12-02,5000,5045,4965,4965,487,BICB,github,2026-05-26T00:45:14Z
2025-12-01,4960,5000,4970,5000,1530,BICB,github,2026-05-26T00:45:14Z
2025-11-28,4955,5000,4950,5000,2790,BICB,github,2026-05-26T00:45:14Z
2025-11-27,5050,5050,4905,4955,1733,BICB,github,2026-05-26T00:45:14Z
2025-11-26,4925,5055,4925,4935,832,BICB,github,2026-05-26T00:45:14Z
2025-11-25,4975,5055,4950,5000,2020,BICB,github,2026-05-26T00:45:14Z
2025-11-24,4955,5200,4970,4970,350,BICB,github,2026-05-26T00:45:14Z
2025-11-21,5005,5200,4950,5200,3458,BICB,github,2026-05-26T00:45:14Z
2025-11-20,5045,5040,4930,4950,10003,BICB,github,2026-05-26T00:45:14Z
2025-11-19,5100,5100,4905,4930,4920,BICB,github,2026-05-26T00:45:14Z
2025-11-18,5200,5200,5100,5100,271,BICB,github,2026-05-26T00:45:14Z
2025-11-17,5205,5215,4950,5200,249,BICB,github,2026-05-26T00:45:14Z
2025-11-14,4925,5220,4925,5215,1586,BICB,github,2026-05-26T00:45:14Z
2025-11-13,5000,5100,5000,5100,1380,BICB,github,2026-05-26T00:45:14Z
2025-11-12,4995,5000,4950,5000,16047,BICB,github,2026-05-26T00:45:14Z
2025-11-11,5100,5245,4900,4995,24553,BICB,github,2026-05-26T00:45:14Z
2025-11-10,5235,5250,5000,5245,44787,BICB,github,2026-05-26T00:45:14Z
2025-11-07,5250,5250,5250,5250,5016,BICB,github,2026-05-26T00:45:14Z
2025-11-06,5250,5250,5100,5245,7169,BICB,github,2026-05-26T00:45:14Z
2025-11-05,5265,5270,5105,5250,1293,BICB,github,2026-05-26T00:45:14Z
2025-11-04,5100,5295,5200,5270,10566,BICB,github,2026-05-26T00:45:14Z
2025-11-03,5110,5250,5100,5200,1367,BICB,github,2026-05-26T00:45:14Z
2025-10-31,5285,5295,5100,5250,8332,BICB,github,2026-05-26T00:45:14Z
2025-10-30,5100,5295,5100,5295,5988,BICB,github,2026-05-26T00:45:14Z
2025-10-29,5280,5295,5205,5295,787,BICB,github,2026-05-26T00:45:14Z
2025-10-28,5260,5300,5205,5280,4227,BICB,github,2026-05-26T00:45:14Z
2025-10-27,5300,5300,5250,5260,4084,BICB,github,2026-05-26T00:45:14Z
2025-10-24,5200,5300,5200,5300,841,BICB,github,2026-05-26T00:45:14Z
2025-10-23,5260,5300,5240,5300,6213,BICB,github,2026-05-26T00:45:14Z
2025-10-22,5250,5260,5240,5260,2738,BICB,github,2026-05-26T00:45:14Z
2025-10-21,5150,5250,5000,5250,11833,BICB,github,2026-05-26T00:45:14Z
2025-10-20,5245,5250,5000,5250,3598,BICB,github,2026-05-26T00:45:14Z
2025-10-17,5150,5250,5110,5250,1263,BICB,github,2026-05-26T00:45:14Z
2025-10-16,5245,5250,5110,5150,356,BICB,github,2026-05-26T00:45:14Z
2025-10-15,5105,5250,5100,5250,3108,BICB,github,2026-05-26T00:45:14Z
2025-10-14,5195,5200,5050,5100,645,BICB,github,2026-05-26T00:45:14Z
2025-10-13,5100,5195,5050,5195,7962,BICB,github,2026-05-26T00:45:14Z
2025-10-10,5090,5150,5090,5100,6199,BICB,github,2026-05-26T00:45:14Z
2025-10-09,5020,5100,5100,5100,3172,BICB,github,2026-05-26T00:45:14Z
2025-10-08,5090,5120,5005,5100,8200,BICB,github,2026-05-26T00:45:14Z
2025-10-07,5095,5095,4990,5005,2302,BICB,github,2026-05-26T00:45:14Z
2025-10-06,5190,5190,5010,5095,3149,BICB,github,2026-05-26T00:45:14Z
2025-10-03,5100,5200,5005,5190,3566,BICB,github,2026-05-26T00:45:14Z
2025-10-02,5150,5230,5230,5025,2700,BICB,github,2026-05-26T00:45:14Z
2025-10-01,5210,5245,5000,5230,7236,BICB,github,2026-05-26T00:45:14Z
2025-09-30,5250,5250,5125,5245,514,BICB,github,2026-05-26T00:45:14Z
2025-09-29,5255,5255,5200,5250,320,BICB,github,2026-05-26T00:45:14Z
2025-09-26,5175,5255,5020,5255,6814,BICB,github,2026-05-26T00:45:14Z
2025-09-25,5195,5200,5100,5200,3613,BICB,github,2026-05-26T00:45:14Z
2025-09-24,5125,5200,5060,5200,1621,BICB,github,2026-05-26T00:45:14Z
2025-09-23,5055,5200,5050,5200,1839,BICB,github,2026-05-26T00:45:14Z
2025-09-22,5150,5150,5010,5050,1834,BICB,github,2026-05-26T00:45:14Z
2025-09-19,5060,5150,5025,5150,6074,BICB,github,2026-05-26T00:45:14Z
2025-09-18,5105,5200,5020,5060,3187,BICB,github,2026-05-26T00:45:14Z
2025-09-17,5200,5200,5100,5200,972,BICB,github,2026-05-26T00:45:14Z
2025-09-16,5105,5290,5100,5200,1003,BICB,github,2026-05-26T00:45:14Z
2025-09-15,5055,5300,5300,5290,101,BICB,github,2026-05-26T00:45:14Z
2025-09-12,5050,5300,4970,5300,5375,BICB,github,2026-05-26T00:45:14Z
2025-09-11,4900,5215,4900,5145,1075,BICB,github,2026-05-26T00:45:14Z
2025-09-10,5160,5295,5160,5215,744,BICB,github,2026-05-26T00:45:14Z
2025-09-09,5195,5300,5150,5295,343,BICB,github,2026-05-26T00:45:14Z
2025-09-08,5170,5300,5090,5300,3644,BICB,github,2026-05-26T00:45:14Z
2025-09-05,5215,5300,5200,5300,1616,BICB,github,2026-05-26T00:45:14Z
2025-09-03,5200,5305,5200,5215,282,BICB,github,2026-05-26T00:45:14Z
2025-09-02,5200,5305,5170,5305,3338,BICB,github,2026-05-26T00:45:14Z
2025-09-01,5195,5215,5150,5215,1182,BICB,github,2026-05-26T00:45:14Z
2025-08-29,5150,5220,5120,5215,1854,BICB,github,2026-05-26T00:45:14Z
2025-08-28,5175,5180,5100,5180,462,BICB,github,2026-05-26T00:45:14Z
2025-08-27,5175,5180,5095,5180,1783,BICB,github,2026-05-26T00:45:14Z
2025-08-26,5165,5200,5100,5180,1329,BICB,github,2026-05-26T00:45:14Z
2025-08-25,5200,5200,5160,5200,1071,BICB,github,2026-05-26T00:45:14Z
2025-08-22,5200,5200,5160,5200,339,BICB,github,2026-05-26T00:45:14Z
2025-08-21,5200,5200,5155,5200,892,BICB,github,2026-05-26T00:45:14Z
2025-08-20,5125,5230,5150,5200,918,BICB,github,2026-05-26T00:45:14Z
2025-08-19,5230,5240,5150,5230,806,BICB,github,2026-05-26T00:45:14Z
2025-08-18,5240,5240,5055,5230,915,BICB,github,2026-05-26T00:45:14Z
2025-08-14,5150,5240,5075,5240,866,BICB,github,2026-05-26T00:45:14Z
2025-08-13,5050,5245,5050,5200,1621,BICB,github,2026-05-26T00:45:14Z
2025-08-12,5240,5250,5050,5245,253,BICB,github,2026-05-26T00:45:14Z
2025-08-11,5250,5250,5100,5250,4028,BICB,github,2026-05-26T00:45:14Z
2025-08-08,4860,5250,4860,5250,6989,BICB,github,2026-05-26T00:45:14Z
2025-08-06,5300,5300,5250,5250,1097,BICB,github,2026-05-26T00:45:14Z
2025-08-05,5250,5300,5200,5300,1368,BICB,github,2026-05-26T00:45:14Z
2025-08-04,5280,5280,5250,5250,298,BICB,github,2026-05-26T00:45:14Z
2025-08-01,5300,5300,5280,5280,102,BICB,github,2026-05-26T00:45:14Z
2025-07-31,5355,5360,5300,5300,764,BICB,github,2026-05-26T00:45:14Z
2025-07-30,5350,5360,5350,5360,619,BICB,github,2026-05-26T00:45:14Z
2025-07-29,5300,5360,5300,5360,714,BICB,github,2026-05-26T00:45:14Z
2025-07-28,5300,5375,5300,5300,1533,BICB,github,2026-05-26T00:45:14Z
2025-07-25,5495,5495,5300,5300,158,BICB,github,2026-05-26T00:45:14Z
2025-07-24,5495,5500,5260,5400,152,BICB,github,2026-05-26T00:45:14Z
2025-07-23,5250,5495,5295,5495,2957,BICB,github,2026-05-26T00:45:14Z
2025-07-22,5255,5300,5255,5295,770,BICB,github,2026-05-26T00:45:14Z
2025-07-21,5285,5290,5250,5270,4727,BICB,github,2026-05-26T00:45:14Z
2025-07-18,5250,5270,5115,5265,596,BICB,github,2026-05-26T00:45:14Z
2025-07-17,5245,5270,5105,5250,4477,BICB,github,2026-05-26T00:45:14Z
2025-07-16,5250,5275,5250,5255,980,BICB,github,2026-05-26T00:45:14Z
2025-07-15,5270,5290,5100,5255,244,BICB,github,2026-05-26T00:45:14Z
2025-07-14,5335,5350,5100,5290,390,BICB,github,2026-05-26T00:45:14Z
2025-07-11,5225,5350,5060,5350,6666,BICB,github,2026-05-26T00:45:14Z
2025-07-10,5245,5250,5150,5240,962,BICB,github,2026-05-26T00:45:14Z
2025-07-09,5100,5270,5060,5250,7236,BICB,github,2026-05-26T00:45:14Z
2025-07-08,5200,5200,4910,5150,12302,BICB,github,2026-05-26T00:45:14Z
2025-07-07,5150,5200,5110,5200,1392,BICB,github,2026-05-26T00:45:14Z
2025-07-04,5250,5285,5010,5200,4331,BICB,github,2026-05-26T00:45:14Z
2025-07-03,5100,5285,5100,5250,571,BICB,github,2026-05-26T00:45:14Z
2025-07-02,5290,5295,5050,5285,1838,BICB,github,2026-05-26T00:45:14Z
2025-07-01,5050,5340,5040,5295,5640,BICB,github,2026-05-26T00:45:14Z
2025-06-30,5040,5445,5040,5340,7468,BICB,github,2026-05-26T00:45:14Z
2025-06-27,5445,5500,5300,5445,5610,BICB,github,2026-05-26T00:45:14Z
2025-06-26,5450,5500,5450,5500,2932,BICB,github,2026-05-26T00:45:14Z
2025-06-25,5500,5500,5400,5450,663,BICB,github,2026-05-26T00:45:14Z
2025-06-24,5595,5600,5500,5500,2198,BICB,github,2026-05-26T00:45:14Z
2025-06-23,5600,5600,5500,5595,1468,BICB,github,2026-05-26T00:45:14Z
2025-06-20,5595,5600,5550,5600,2138,BICB,github,2026-05-26T00:45:14Z
2025-06-19,5500,5600,5365,5595,3675,BICB,github,2026-05-26T00:45:14Z
2025-06-18,5500,5500,5420,5500,1794,BICB,github,2026-05-26T00:45:14Z
2025-06-17,5650,5650,5500,5500,1854,BICB,github,2026-05-26T00:45:14Z
2025-06-16,5415,5600,5415,5600,433,BICB,github,2026-05-26T00:45:14Z
2025-06-13,5550,5600,5450,5595,1143,BICB,github,2026-05-26T00:45:14Z
2025-06-12,5600,5600,5410,5550,446,BICB,github,2026-05-26T00:45:14Z
2025-06-11,5410,6155,5325,5600,3273,BICB,github,2026-05-26T00:45:14Z
2025-06-10,5300,5750,5260,5730,11541,BICB,github,2026-05-26T00:45:14Z
2025-06-05,5300,5350,5300,5350,2156,BICB,github,2026-05-26T00:45:14Z
2025-06-04,5340,5350,5315,5340,1287,BICB,github,2026-05-26T00:45:14Z
2025-06-03,5350,5350,5255,5350,601,BICB,github,2026-05-26T00:45:14Z
2025-06-02,5350,5350,5225,5350,1289,BICB,github,2026-05-26T00:45:14Z
2025-05-30,5345,5360,5250,5350,1938,BICB,github,2026-05-26T00:45:14Z
2025-05-28,5350,5375,5300,5355,1762,BICB,github,2026-05-26T00:45:14Z
2025-05-27,5225,5350,5250,5350,790,BICB,github,2026-05-26T00:45:14Z
2025-05-26,5245,5375,5200,5300,16339,BICB,github,2026-05-26T00:45:14Z
2025-05-23,5205,5300,5205,5300,6088,BICB,github,2026-05-26T00:45:14Z
2025-05-22,5205,5330,5205,5225,3145,BICB,github,2026-05-26T00:45:14Z
2025-05-21,5330,5340,5300,5330,2541,BICB,github,2026-05-26T00:45:14Z
2025-05-20,5375,5395,5305,5340,989,BICB,github,2026-05-26T00:45:14Z
2025-05-19,5400,5450,5380,5395,796,BICB,github,2026-05-26T00:45:14Z
2025-05-16,5310,5450,5350,5450,5256,BICB,github,2026-05-26T00:45:14Z
2025-05-15,5400,5400,5400,5400,364,BICB,github,2026-05-26T00:45:14Z
2025-05-14,5400,5400,5395,5400,3186,BICB,github,2026-05-26T00:45:14Z
2025-05-13,5400,5450,5350,5400,3164,BICB,github,2026-05-26T00:45:14Z
2025-05-12,5400,5595,5400,5450,876,BICB,github,2026-05-26T00:45:14Z
2025-05-09,5320,5595,5220,5595,11998,BICB,github,2026-05-26T00:45:14Z
2025-05-08,5340,5600,5220,5220,12670,BICB,github,2026-05-26T00:45:14Z
2025-05-07,5205,5585,5350,5350,2069,BICB,github,2026-05-26T00:45:14Z
2025-05-06,5500,5400,5300,5390,2640,BICB,github,2026-05-26T00:45:14Z
2025-05-05,5500,5600,5350,5350,606,BICB,github,2026-05-26T00:45:14Z
2025-05-02,5300,5600,5275,5600,11767,BICB,github,2026-05-26T00:45:14Z
2025-04-30,5600,5610,5255,5495,897,BICB,github,2026-05-26T00:45:14Z
2025-04-29,5600,5635,5510,5610,5036,BICB,github,2026-05-26T00:45:14Z
2025-04-28,5600,5640,5250,5600,4977,BICB,github,2026-05-26T00:45:14Z
